Product,User,Comment,Rating,Date
Điện thoại,user_191,Không hài lòng với chất lượng sản phẩm.,2,2023-02-28
Laptop,user_489,"Sản phẩm rất tốt, giao hàng nhanh.",5,2023-07-10
Laptop,user_301,Sẽ tiếp tục mua hàng lần sau.,1,2023-12-29
Điện thoại,user_340,Giao hàng rất nhanh và đúng hẹn.,4,2024-05-21
Giày thể thao,user_326,Giao hàng rất nhanh và đúng hẹn.,5,2024-08-21
Bàn phím cơ,user_153,Dịch vụ khách hàng rất tệ.,5,2023-02-10
Áo thun,user_203,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-08-10
Áo thun,user_433,"Đóng gói cẩn thận, giá hợp lý.",5,2024-07-03
Áo thun,user_289,"Màu sắc đẹp, nhưng chất liệu không ổn.",2,2024-05-27
Laptop,user_51,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",4,2024-06-28
Bàn phím cơ,user_85,Sẽ tiếp tục mua hàng lần sau.,1,2023-04-15
Điện thoại,user_134,Sẽ tiếp tục mua hàng lần sau.,1,2024-08-08
Giày thể thao,user_130,Không hài lòng với chất lượng sản phẩm.,3,2023-05-10
Giày thể thao,user_383,"Đóng gói cẩn thận, giá hợp lý.",5,2023-02-13
Laptop,user_440,Chất lượng không đúng như mong đợi.,5,2023-08-05
Giày thể thao,user_318,Giao hàng rất nhanh và đúng hẹn.,5,2024-08-14
Điện thoại,user_247,"Sản phẩm rất tốt, giao hàng nhanh.",3,2023-01-05
Giày thể thao,user_194,Dịch vụ khách hàng rất tệ.,1,2023-07-20
Áo thun,user_280,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",4,2024-09-24
Laptop,user_276,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2024-09-16
Bàn phím cơ,user_429,Sẽ tiếp tục mua hàng lần sau.,4,2023-02-17
Giày thể thao,user_401,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2023-08-07
Giày thể thao,user_47,Sẽ tiếp tục mua hàng lần sau.,2,2024-05-10
Giày thể thao,user_484,"Sản phẩm bị lỗi, yêu cầu đổi trả.",4,2023-04-23
Bàn phím cơ,user_16,Dịch vụ khách hàng rất tệ.,2,2023-06-06
Bàn phím cơ,user_258,Giao hàng rất nhanh và đúng hẹn.,2,2024-04-14
Điện thoại,user_412,Chất lượng không đúng như mong đợi.,5,2024-10-21
Điện thoại,user_263,"Màu sắc đẹp, nhưng chất liệu không ổn.",2,2023-12-05
Điện thoại,user_190,Không hài lòng với chất lượng sản phẩm.,3,2024-05-27
Bàn phím cơ,user_373,Sẽ tiếp tục mua hàng lần sau.,4,2023-05-01
Điện thoại,user_345,"Màu sắc đẹp, nhưng chất liệu không ổn.",5,2024-03-26
Giày thể thao,user_212,"Sản phẩm rất tốt, giao hàng nhanh.",4,2023-07-20
Bàn phím cơ,user_210,Dịch vụ khách hàng rất tệ.,3,2023-11-30
Áo thun,user_256,Sẽ tiếp tục mua hàng lần sau.,2,2024-06-30
Áo thun,user_349,Dịch vụ khách hàng rất tệ.,4,2024-02-29
Áo thun,user_372,Không hài lòng với chất lượng sản phẩm.,2,2023-12-19
Bàn phím cơ,user_60,Giao hàng rất nhanh và đúng hẹn.,5,2024-03-15
Laptop,user_139,Chất lượng không đúng như mong đợi.,4,2023-11-11
Áo thun,user_133,"Sản phẩm rất tốt, giao hàng nhanh.",5,2023-04-14
Áo thun,user_182,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",2,2023-01-27
Điện thoại,user_272,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",5,2023-06-09
Laptop,user_256,Dịch vụ khách hàng rất tệ.,2,2024-02-14
Laptop,user_228,Chất lượng không đúng như mong đợi.,4,2024-10-25
Bàn phím cơ,user_124,Sẽ tiếp tục mua hàng lần sau.,1,2024-06-11
Điện thoại,user_115,"Sản phẩm rất tốt, giao hàng nhanh.",5,2023-06-11
Điện thoại,user_304,"Sản phẩm bị lỗi, yêu cầu đổi trả.",4,2024-10-26
Laptop,user_326,"Sản phẩm rất tốt, giao hàng nhanh.",5,2024-03-12
Điện thoại,user_138,Giao hàng rất nhanh và đúng hẹn.,3,2023-08-10
Giày thể thao,user_398,Dịch vụ khách hàng rất tệ.,2,2024-08-21
Điện thoại,user_279,"Màu sắc đẹp, nhưng chất liệu không ổn.",5,2023-11-10
Laptop,user_304,"Đóng gói cẩn thận, giá hợp lý.",2,2024-07-27
Bàn phím cơ,user_492,Sẽ tiếp tục mua hàng lần sau.,4,2023-08-18
Giày thể thao,user_440,"Sản phẩm rất tốt, giao hàng nhanh.",5,2023-06-21
Áo thun,user_49,Giao hàng rất nhanh và đúng hẹn.,5,2024-07-30
Bàn phím cơ,user_184,Không hài lòng với chất lượng sản phẩm.,3,2024-01-25
Giày thể thao,user_353,Giao hàng rất nhanh và đúng hẹn.,2,2024-04-14
Bàn phím cơ,user_308,Giao hàng rất nhanh và đúng hẹn.,3,2024-01-23
Điện thoại,user_134,"Đóng gói cẩn thận, giá hợp lý.",1,2023-10-29
Áo thun,user_118,Giao hàng rất nhanh và đúng hẹn.,1,2023-06-25
Laptop,user_335,"Sản phẩm rất tốt, giao hàng nhanh.",5,2023-02-04
Laptop,user_201,Sẽ tiếp tục mua hàng lần sau.,5,2023-02-07
Bàn phím cơ,user_388,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-10-09
Bàn phím cơ,user_496,Giao hàng rất nhanh và đúng hẹn.,2,2023-01-11
Giày thể thao,user_469,Không hài lòng với chất lượng sản phẩm.,1,2023-02-23
Áo thun,user_439,"Sản phẩm rất tốt, giao hàng nhanh.",4,2023-06-04
Bàn phím cơ,user_65,Giao hàng rất nhanh và đúng hẹn.,3,2023-01-03
Giày thể thao,user_164,"Màu sắc đẹp, nhưng chất liệu không ổn.",5,2024-05-06
Bàn phím cơ,user_153,Giao hàng rất nhanh và đúng hẹn.,4,2023-11-23
Bàn phím cơ,user_384,Sẽ tiếp tục mua hàng lần sau.,3,2023-03-01
Bàn phím cơ,user_470,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2023-11-26
Bàn phím cơ,user_246,"Sản phẩm rất tốt, giao hàng nhanh.",3,2024-02-21
Điện thoại,user_390,Sẽ tiếp tục mua hàng lần sau.,2,2023-09-30
Laptop,user_249,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",5,2024-09-25
Bàn phím cơ,user_396,"Đóng gói cẩn thận, giá hợp lý.",2,2023-12-28
Bàn phím cơ,user_434,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-06-29
Điện thoại,user_161,Không hài lòng với chất lượng sản phẩm.,2,2023-08-09
Giày thể thao,user_284,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-05-08
Laptop,user_392,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",1,2024-10-22
Giày thể thao,user_190,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",4,2024-04-11
Điện thoại,user_322,"Sản phẩm rất tốt, giao hàng nhanh.",1,2023-06-06
Laptop,user_277,Sẽ tiếp tục mua hàng lần sau.,1,2023-06-10
Áo thun,user_290,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2023-09-13
Điện thoại,user_376,Dịch vụ khách hàng rất tệ.,3,2024-06-09
Điện thoại,user_257,Không hài lòng với chất lượng sản phẩm.,1,2024-03-31
Laptop,user_102,Không hài lòng với chất lượng sản phẩm.,5,2024-06-08
Giày thể thao,user_494,"Màu sắc đẹp, nhưng chất liệu không ổn.",1,2023-11-08
Laptop,user_252,"Màu sắc đẹp, nhưng chất liệu không ổn.",1,2023-09-18
Bàn phím cơ,user_407,"Màu sắc đẹp, nhưng chất liệu không ổn.",1,2023-12-28
Áo thun,user_115,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2024-03-13
Giày thể thao,user_146,Chất lượng không đúng như mong đợi.,1,2024-08-22
Laptop,user_331,Chất lượng không đúng như mong đợi.,5,2023-05-01
Bàn phím cơ,user_4,Sẽ tiếp tục mua hàng lần sau.,5,2023-09-06
Áo thun,user_169,Giao hàng rất nhanh và đúng hẹn.,2,2024-01-08
Áo thun,user_469,Sẽ tiếp tục mua hàng lần sau.,4,2023-03-08
Giày thể thao,user_263,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-07-21
Giày thể thao,user_200,"Sản phẩm rất tốt, giao hàng nhanh.",3,2024-01-02
Áo thun,user_145,Sẽ tiếp tục mua hàng lần sau.,5,2023-01-29
Laptop,user_135,Không hài lòng với chất lượng sản phẩm.,3,2024-06-26
Giày thể thao,user_135,Dịch vụ khách hàng rất tệ.,3,2024-03-28
Áo thun,user_434,Chất lượng không đúng như mong đợi.,1,2023-02-28
Laptop,user_319,Chất lượng không đúng như mong đợi.,2,2023-01-21
Điện thoại,user_387,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",1,2023-05-07
Bàn phím cơ,user_263,Không hài lòng với chất lượng sản phẩm.,3,2024-07-05
Laptop,user_279,Chất lượng không đúng như mong đợi.,5,2024-09-04
Điện thoại,user_241,Chất lượng không đúng như mong đợi.,1,2023-06-27
Laptop,user_481,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-10-28
Laptop,user_408,"Màu sắc đẹp, nhưng chất liệu không ổn.",4,2024-08-12
Áo thun,user_273,"Màu sắc đẹp, nhưng chất liệu không ổn.",5,2023-10-31
Giày thể thao,user_98,Không hài lòng với chất lượng sản phẩm.,3,2024-06-07
Áo thun,user_112,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",3,2023-03-05
Bàn phím cơ,user_312,Chất lượng không đúng như mong đợi.,1,2024-07-10
Bàn phím cơ,user_148,"Sản phẩm bị lỗi, yêu cầu đổi trả.",4,2023-11-22
Áo thun,user_271,"Màu sắc đẹp, nhưng chất liệu không ổn.",2,2023-08-18
Điện thoại,user_471,Giao hàng rất nhanh và đúng hẹn.,3,2024-01-06
Laptop,user_215,Giao hàng rất nhanh và đúng hẹn.,3,2023-02-10
Laptop,user_445,"Sản phẩm rất tốt, giao hàng nhanh.",1,2024-09-04
Áo thun,user_170,"Đóng gói cẩn thận, giá hợp lý.",1,2023-08-31
Áo thun,user_130,Giao hàng rất nhanh và đúng hẹn.,2,2023-11-21
Giày thể thao,user_279,Chất lượng không đúng như mong đợi.,2,2023-11-28
Giày thể thao,user_111,"Màu sắc đẹp, nhưng chất liệu không ổn.",4,2024-03-31
Giày thể thao,user_257,Sẽ tiếp tục mua hàng lần sau.,5,2024-05-20
Áo thun,user_293,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-10-30
Laptop,user_241,Giao hàng rất nhanh và đúng hẹn.,4,2023-10-28
Laptop,user_472,Giao hàng rất nhanh và đúng hẹn.,1,2024-06-12
Điện thoại,user_242,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2024-09-07
Giày thể thao,user_388,"Đóng gói cẩn thận, giá hợp lý.",2,2024-02-08
Điện thoại,user_63,Không hài lòng với chất lượng sản phẩm.,2,2024-08-21
Giày thể thao,user_440,Chất lượng không đúng như mong đợi.,5,2023-01-06
Laptop,user_164,Sẽ tiếp tục mua hàng lần sau.,4,2024-05-01
Áo thun,user_444,Không hài lòng với chất lượng sản phẩm.,2,2024-09-30
Bàn phím cơ,user_109,Sẽ tiếp tục mua hàng lần sau.,2,2023-02-15
Bàn phím cơ,user_212,Chất lượng không đúng như mong đợi.,3,2023-03-24
Bàn phím cơ,user_376,Sẽ tiếp tục mua hàng lần sau.,1,2024-03-03
Laptop,user_75,"Đóng gói cẩn thận, giá hợp lý.",1,2024-08-24
Giày thể thao,user_68,Sẽ tiếp tục mua hàng lần sau.,4,2024-03-29
Laptop,user_498,Giao hàng rất nhanh và đúng hẹn.,5,2024-09-20
Điện thoại,user_318,Sẽ tiếp tục mua hàng lần sau.,5,2024-06-17
Giày thể thao,user_29,Sẽ tiếp tục mua hàng lần sau.,2,2024-01-03
Giày thể thao,user_246,Không hài lòng với chất lượng sản phẩm.,5,2024-05-02
Áo thun,user_342,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",4,2023-01-06
Laptop,user_263,Sẽ tiếp tục mua hàng lần sau.,1,2023-11-30
Áo thun,user_246,"Sản phẩm rất tốt, giao hàng nhanh.",3,2024-05-30
Điện thoại,user_23,Chất lượng không đúng như mong đợi.,4,2024-01-21
Bàn phím cơ,user_179,Sẽ tiếp tục mua hàng lần sau.,2,2024-07-04
Điện thoại,user_203,"Sản phẩm rất tốt, giao hàng nhanh.",1,2023-08-21
Điện thoại,user_485,Giao hàng rất nhanh và đúng hẹn.,5,2024-03-17
Áo thun,user_236,Dịch vụ khách hàng rất tệ.,4,2024-06-25
Áo thun,user_491,"Sản phẩm bị lỗi, yêu cầu đổi trả.",4,2023-10-03
Laptop,user_137,"Màu sắc đẹp, nhưng chất liệu không ổn.",3,2023-09-22
Giày thể thao,user_406,Giao hàng rất nhanh và đúng hẹn.,5,2024-06-01
Laptop,user_110,"Sản phẩm rất tốt, giao hàng nhanh.",1,2024-09-27
Giày thể thao,user_64,Chất lượng không đúng như mong đợi.,5,2023-01-25
Bàn phím cơ,user_261,"Đóng gói cẩn thận, giá hợp lý.",1,2024-08-04
Giày thể thao,user_458,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",5,2023-04-01
Giày thể thao,user_33,Dịch vụ khách hàng rất tệ.,4,2024-03-28
Bàn phím cơ,user_441,Sẽ tiếp tục mua hàng lần sau.,2,2023-06-30
Giày thể thao,user_426,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",5,2023-01-30
Điện thoại,user_498,Không hài lòng với chất lượng sản phẩm.,5,2023-09-05
Điện thoại,user_144,"Sản phẩm rất tốt, giao hàng nhanh.",4,2024-05-17
Điện thoại,user_479,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2023-10-15
Điện thoại,user_314,Chất lượng không đúng như mong đợi.,1,2023-09-20
Laptop,user_225,"Màu sắc đẹp, nhưng chất liệu không ổn.",2,2024-01-24
Bàn phím cơ,user_242,"Sản phẩm rất tốt, giao hàng nhanh.",4,2023-07-02
Laptop,user_13,"Màu sắc đẹp, nhưng chất liệu không ổn.",1,2024-08-29
Giày thể thao,user_395,Sẽ tiếp tục mua hàng lần sau.,1,2024-02-17
Giày thể thao,user_244,"Màu sắc đẹp, nhưng chất liệu không ổn.",2,2023-09-29
Điện thoại,user_158,"Đóng gói cẩn thận, giá hợp lý.",2,2024-03-20
Bàn phím cơ,user_417,Chất lượng không đúng như mong đợi.,2,2023-05-10
Điện thoại,user_17,Giao hàng rất nhanh và đúng hẹn.,5,2023-04-02
Áo thun,user_12,Chất lượng không đúng như mong đợi.,3,2024-06-17
Áo thun,user_455,Chất lượng không đúng như mong đợi.,3,2023-12-25
Bàn phím cơ,user_11,Chất lượng không đúng như mong đợi.,4,2023-12-26
Giày thể thao,user_146,Giao hàng rất nhanh và đúng hẹn.,3,2023-12-22
Laptop,user_424,"Sản phẩm rất tốt, giao hàng nhanh.",3,2023-09-04
Điện thoại,user_242,Giao hàng rất nhanh và đúng hẹn.,4,2023-02-12
Áo thun,user_146,Chất lượng không đúng như mong đợi.,5,2023-05-09
Laptop,user_258,"Sản phẩm bị lỗi, yêu cầu đổi trả.",3,2024-03-07
Giày thể thao,user_86,"Đóng gói cẩn thận, giá hợp lý.",2,2023-08-31
Bàn phím cơ,user_470,Sẽ tiếp tục mua hàng lần sau.,2,2023-10-19
Laptop,user_136,"Sản phẩm bị lỗi, yêu cầu đổi trả.",5,2023-12-05
Bàn phím cơ,user_391,"Màu sắc đẹp, nhưng chất liệu không ổn.",4,2023-03-21
Giày thể thao,user_473,"Sản phẩm rất tốt, giao hàng nhanh.",4,2023-09-05
Áo thun,user_478,"Sản phẩm bị lỗi, yêu cầu đổi trả.",1,2023-04-02
Bàn phím cơ,user_489,Giao hàng rất nhanh và đúng hẹn.,3,2023-01-13
Laptop,user_497,Chất lượng không đúng như mong đợi.,1,2023-10-02
Áo thun,user_165,"Hàng giao thiếu phụ kiện, nhưng shop đã xử lý nhanh.",4,2024-01-04
